英文简称,OTHER_ISIN,定价日,发行规则
BOCAVI 5.75 11/09/28,US66980P2C23,11/2/2023,144A
BOCAVI 4.875 05/03/33,US66980P2B40,4/25/2023,144A
LENOVO 6.536 07/27/32,US526250AE54,7/20/2022,144A
LENOVO 5.831 01/27/28,US526250AD71,7/20/2022,144A
XINAOG 4.625 05/17/27,US29336EAA10,5/11/2022,144A
CHINA 1.75 10/26/31,US60367QAC78,10/19/2021,144A
CHINA 0.75 10/26/24,US60367QAA13,10/19/2021,144A
CHINA 2.5 10/26/51,US60367QAD51,10/19/2021,144A
CHINA 1.25 10/26/26,US60367QAB95,10/19/2021,144A
SANLTD 2.3 03/08/27,US80007RAM79,9/9/2021,144A
SANLTD 2.85 03/08/29,US80007RAP01,9/9/2021,144A
SANLTD 3.25 08/08/31,US80007RAR66,9/9/2021,144A
XIAOMI 2.875 07/14/31,US98422HAC07,7/7/2021,144A
XIAOMI 4.1 07/14/51,US98422HAE62,7/7/2021,144A
VEYONG 3.375 05/12/26,US268733AA05,5/6/2021,144A
BOCAVI 1.625 04/29/24,US66980P2A66,4/22/2021,144A
TENCNT 2.88 04/22/31,US88032WBA36,4/15/2021,144A
TENCNT 3.68 04/22/41,US88032WBB19,4/15/2021,144A
TENCNT 3.84 04/22/51,US88032WBC91,4/15/2021,144A
TENCNT 3.94 04/22/61,US88032WBD74,4/15/2021,144A
MGMCHI 4.75 02/01/27,US55300RAG65,3/25/2021,144A
SINOPE 2.3 01/08/31,US82939GAS75,1/5/2021,144A
SINOPE 3.1 01/08/51,US82939GAT58,1/5/2021,144A
SINOPE 1.45 01/08/26,US82939GAR92,1/5/2021,144A
LENOVO 3.421 11/02/30,US526250AB16,10/28/2020,144A
MEITUA 2.125 10/28/25,US58533EAB92,10/21/2020,144A
MEITUA 3.05 10/28/30,US58533EAC75,10/21/2020,144A
CHINA 1.2 10/21/30,US16955EAC49,10/14/2020,144A
CHINA 0.4 10/21/23,US16955EAA82,10/14/2020,144A
CHINA 2.25 10/21/50,US16955EAD22,10/14/2020,144A
CHINA 0.55 10/21/25,US16955EAB65,10/14/2020,144A
YANTZE 2.15 09/22/30,US88556LAE65,9/15/2020,144A
YANTZE 1.3 09/22/25,US88556LAD82,9/15/2020,144A
XINAOG 2.625 09/17/30,US26876FAC68,9/10/2020,144A
BOCAVI 2.625 09/17/30,US09681LAS97,9/8/2020,144A
MGMCHI 5.25 06/18/25,US55300RAE18,6/11/2020,144A
SANLTD 4.375 06/18/30,US80007RAG02,6/2/2020,144A
SANLTD 3.8 01/08/26,US80007RAJ41,6/2/2020,144A
TENCNT 2.39 06/03/30,US88032WAU09,5/27/2020,144A
TENCNT 3.24 06/03/50,US88032WAV81,5/27/2020,144A
TENCNT 3.29 06/03/60,US88032WAW64,5/27/2020,144A
TENCNT 1.81 01/26/26,US88032WAT36,5/27/2020,144A
SINOPE 2.7 05/13/30,US82939GAP37,5/6/2020,144A
SINOPE 3.35 05/13/50,US82939GAQ10,5/6/2020,144A
SINOPE 2.15 05/13/25,US82939GAN88,5/6/2020,144A
BOCAVI 3.25 04/29/25,US09681LAL45,4/22/2020,144A
XIAOMI 3.375 04/29/30,US98422HAA41,4/22/2020,144A
SINOPE 2.95 11/12/29,US82939GAL23,11/4/2019,144A
SINOPE 3.44 11/12/49,US82939GAM06,11/4/2019,144A
SINOPE 2.5 11/12/24,US82939GAK40,11/4/2019,144A
BOCAVI 3 09/11/29,US09681LAK61,9/3/2019,144A
SINOPE 2.95 08/08/29,US82939GAH11,8/1/2019,144A
SINOPE 3.68 08/08/49,US82939GAJ76,8/1/2019,144A
SINOPE 2.5 08/08/24,US82939GAF54,8/1/2019,144A
MGMCHI 5.375 05/15/24,US55300RAA95,5/8/2019,144A
MGMCHI 5.875 05/15/26,US55300RAB78,5/8/2019,144A
MSSCRK 10.5 05/15/27,US61965RAB15,4/26/2019,144A
TENCNT 3.975 04/11/29,US88032WAN65,4/3/2019,144A
TENCNT 4.525 04/11/49,US88032WAQ96,4/3/2019,144A
TENCNT 3.28 04/11/24,US88032WAL00,4/3/2019,144A
