A_Date,大陆及香港假期
12/31/2024,
12/30/2024,
12/29/2024,周末
12/28/2024,周末
12/27/2024,
12/26/2024,圣诞节
12/25/2024,圣诞节
12/24/2024,
12/23/2024,
12/22/2024,周末
12/21/2024,周末
12/20/2024,
12/19/2024,
12/18/2024,
12/17/2024,
12/16/2024,
12/15/2024,周末
12/14/2024,周末
12/13/2024,
12/12/2024,
12/11/2024,
12/10/2024,
12/9/2024,
12/8/2024,周末
12/7/2024,周末
12/6/2024,
12/5/2024,
12/4/2024,
12/3/2024,
12/2/2024,
12/1/2024,周末
11/30/2024,周末
11/29/2024,
11/28/2024,
11/27/2024,
11/26/2024,
11/25/2024,
11/24/2024,周末
11/23/2024,周末
11/22/2024,
11/21/2024,
11/20/2024,
11/19/2024,
11/18/2024,
11/17/2024,周末
11/16/2024,周末
11/15/2024,
11/14/2024,
11/13/2024,
11/12/2024,
11/11/2024,
11/10/2024,周末
11/9/2024,周末
11/8/2024,
11/7/2024,
11/6/2024,
11/5/2024,
11/4/2024,
11/3/2024,周末
11/2/2024,周末
11/1/2024,
10/31/2024,
10/30/2024,
10/29/2024,
10/28/2024,
10/27/2024,周末
10/26/2024,周末
10/25/2024,
10/24/2024,
10/23/2024,
10/22/2024,
10/21/2024,
10/20/2024,周末
10/19/2024,周末
10/18/2024,
10/17/2024,
10/16/2024,
10/15/2024,
10/14/2024,
10/13/2024,周末
10/12/2024,
10/11/2024,重阳节
10/10/2024,
10/9/2024,
10/8/2024,
10/7/2024,CN假期
10/6/2024,CN假期
10/5/2024,CN假期
10/4/2024,CN假期
10/3/2024,CN假期
10/2/2024,CN假期
10/1/2024,国庆节;CN假期
9/30/2024,
9/29/2024,
9/28/2024,周末
9/27/2024,
9/26/2024,
9/25/2024,
9/24/2024,
9/23/2024,
9/22/2024,周末
9/21/2024,周末
9/20/2024,
9/19/2024,
9/18/2024,中秋节
9/17/2024,CN假期
9/16/2024,CN假期
9/15/2024,CN假期
9/14/2024,
9/13/2024,
9/12/2024,
9/11/2024,
9/10/2024,
9/9/2024,
9/8/2024,周末
9/7/2024,周末
9/6/2024,
9/5/2024,
9/4/2024,
9/3/2024,
9/2/2024,
9/1/2024,周末
8/31/2024,周末
8/30/2024,
8/29/2024,
8/28/2024,
8/27/2024,
8/26/2024,
8/25/2024,周末
8/24/2024,周末
8/23/2024,
8/22/2024,
8/21/2024,
8/20/2024,
8/19/2024,
8/18/2024,周末
8/17/2024,周末
8/16/2024,
8/15/2024,
8/14/2024,
8/13/2024,
8/12/2024,
8/11/2024,周末
8/10/2024,周末
8/9/2024,
8/8/2024,
8/7/2024,
8/6/2024,
8/5/2024,
8/4/2024,周末
8/3/2024,周末
8/2/2024,
8/1/2024,
7/31/2024,
7/30/2024,
7/29/2024,
7/28/2024,周末
7/27/2024,周末
7/26/2024,
7/25/2024,
7/24/2024,
7/23/2024,
7/22/2024,
7/21/2024,周末
7/20/2024,周末
7/19/2024,
7/18/2024,
7/17/2024,
7/16/2024,
7/15/2024,
7/14/2024,周末
7/13/2024,周末
7/12/2024,
7/11/2024,
7/10/2024,
7/9/2024,
7/8/2024,
7/7/2024,周末
7/6/2024,周末
7/5/2024,
7/4/2024,
7/3/2024,
7/2/2024,
7/1/2024,回归纪念日
6/30/2024,周末
6/29/2024,周末
6/28/2024,
6/27/2024,
6/26/2024,
6/25/2024,
6/24/2024,
6/23/2024,周末
6/22/2024,周末
6/21/2024,
6/20/2024,
6/19/2024,
6/18/2024,
6/17/2024,
6/16/2024,周末
6/15/2024,周末
6/14/2024,
6/13/2024,
6/12/2024,
6/11/2024,
6/10/2024,端午节;CN假期
6/9/2024,CN假期
6/8/2024,CN假期
6/7/2024,
6/6/2024,
6/5/2024,
6/4/2024,
6/3/2024,
6/2/2024,周末
6/1/2024,周末
5/31/2024,
5/30/2024,
5/29/2024,
5/28/2024,
5/27/2024,
5/26/2024,周末
5/25/2024,周末
5/24/2024,
5/23/2024,
5/22/2024,
5/21/2024,
5/20/2024,
5/19/2024,周末
5/18/2024,周末
5/17/2024,
5/16/2024,
5/15/2024,佛诞
5/14/2024,
5/13/2024,
5/12/2024,周末
5/11/2024,
5/10/2024,
5/9/2024,
5/8/2024,
5/7/2024,
5/6/2024,
5/5/2024,CN假期
5/4/2024,CN假期
5/3/2024,CN假期
5/2/2024,CN假期
5/1/2024,劳动节;CN假期
4/30/2024,
4/29/2024,
4/28/2024,
4/27/2024,周末
4/26/2024,
4/25/2024,
4/24/2024,
4/23/2024,
4/22/2024,
4/21/2024,周末
4/20/2024,周末
4/19/2024,
4/18/2024,
4/17/2024,
4/16/2024,
4/15/2024,
4/14/2024,周末
4/13/2024,周末
4/12/2024,
4/11/2024,
4/10/2024,
4/9/2024,
4/8/2024,
4/7/2024,
4/6/2024,CN假期
4/5/2024,CN假期
4/4/2024,清明节;CN假期
4/3/2024,
4/2/2024,
4/1/2024,复活节
3/31/2024,周末
3/30/2024,复活节周末
3/29/2024,复活节
3/28/2024,
3/27/2024,
3/26/2024,
3/25/2024,
3/24/2024,周末
3/23/2024,周末
3/22/2024,
3/21/2024,
3/20/2024,
3/19/2024,
3/18/2024,
3/17/2024,周末
3/16/2024,周末
3/15/2024,
3/14/2024,
3/13/2024,
3/12/2024,
3/11/2024,
3/10/2024,周末
3/9/2024,周末
3/8/2024,
3/7/2024,
3/6/2024,
3/5/2024,
3/4/2024,
3/3/2024,周末
3/2/2024,周末
3/1/2024,
2/29/2024,
2/28/2024,
2/27/2024,
2/26/2024,
2/25/2024,周末
2/24/2024,周末
2/23/2024,
2/22/2024,
2/21/2024,
2/20/2024,
2/19/2024,
2/18/2024,
2/17/2024,CN假期
2/16/2024,CN假期
2/15/2024,CN假期
2/14/2024,CN假期
2/13/2024,春节;CN假期
2/12/2024,春节;CN假期
2/11/2024,CN假期
2/10/2024,春节;CN假期
2/9/2024,
2/8/2024,
2/7/2024,
2/6/2024,
2/5/2024,
2/4/2024,
2/3/2024,周末
2/2/2024,
2/1/2024,
1/31/2024,
1/30/2024,
1/29/2024,
1/28/2024,周末
1/27/2024,周末
1/26/2024,
1/25/2024,
1/24/2024,
1/23/2024,
1/22/2024,
1/21/2024,周末
1/20/2024,周末
1/19/2024,
1/18/2024,
1/17/2024,
1/16/2024,
1/15/2024,
1/14/2024,周末
1/13/2024,周末
1/12/2024,
1/11/2024,
1/10/2024,
1/9/2024,
1/8/2024,
1/7/2024,周末
1/6/2024,周末
1/5/2024,
1/4/2024,
1/3/2024,
1/2/2024,
1/1/2024,元旦;CN假期
12/31/2023,CN假期
12/30/2023,CN假期
12/29/2023,
12/28/2023,
12/27/2023,
12/26/2023,圣诞节
12/25/2023,圣诞节
12/24/2023,周末
12/23/2023,周末
