序号,团队,Project Name,项目名称（集团全称）,发行人名称中文,发行人名称英文,上会审批日,Mandate,项目定价日,KYC Deadline,KYC expiry date,KYC,Approved by RO,Worldcheck,DD Form,DD Risk,Record Keeping,Completed,公盘地址
35,SOE,Haining,海宁市城市发展投资集团有限公司,海宁市城市发展投资集团有限公司,"Haining City Development Investment Group., Ltd",2022-08-11,2022-08-11,2022-08-11,2022-09-23,2025-08-11,Y,,Y,Y,中,,1,V:\Deals\Completed\2022 Completed\SOE\Haining 海宁城发 FTZ
36-37,SOE,Jingle II & III,如东县民泰城乡建设工程有限公司,如东县民泰城乡建设工程有限公司,"Rudong County Mintai Urban and Rural Construction Engineering Co., Ltd",2022-07-15,2022-08-19,2022-08-23,2022-10-03,2025-08-19,Y,,Y,Y,中,Y,1,V:\Deals\Completed\2022 Completed\SOE\Jingle II&III 如东民泰
38,POE,Sailing II,中伟新材料股份有限公司,中伟香港新能源科技有限公司,"Zoomwe Hong Kong New Energy Technology Co., Limited",2022-08-18,2022-08-15,2022-08-31,2022-09-27,2025-08-15,Y,,Y,Y,中,,1,V:\Deals\Completed\2022 Completed\POE\Project Sailing II_中伟股份【SBLC】
39,SOE,Spring Radiance III,绍兴市上虞区国有资本投资运营有限公司,绍兴市上虞区国有资本投资运营有限公司,"Shaoxing Shangyu State-owned Capital Investment And Operation Co., Ltd.",2022-08-23,2022-09-07,2022-09-16,2022-10-21,2025-09-07,Y,,Y,Y,中,Y,1,V:\Deals\Completed\2022 Completed\SOE\Spring Radiance III 上虞国资
40-41,SOE,Easthill IIIA & IIIB,南京江宁经济技术开发集团有限公司,江宁经开海外投资有限公司,"Jiangning Jingkai Overseas Investment Co., Ltd.",2022-09-26,2022-09-26,2022-09-26,2022-11-08,2024-10-13,Y,,Y,Y,中,,1,V:\Deals\Completed\2022 Completed\SOE\Easthill III A&B 南京江宁经开
42,SOE,Tonglu,桐庐县国有资本投资运营控股集团有限公司,桐庐县国有资本投资运营控股集团有限公司,"Tonglu County State Capital Investment and Management Holding Group Co., Ltd.",2022-10-10,2022-10-10,2022-10-11,2022-11-21,2025-10-10,Y,,Y,Y,中,,1,V:\Deals\Completed\2022 Completed\SOE\Tonglu 桐庐国资 FTZ
43,FI,Charming 3,集友银行,集友银行有限公司,Chiyu Banking Corp Ltd,2022-09-30,2022-09-30,2022-10-19,2022-11-14,2025-03-29,Y,,Y,Y,低,Y,1,V:\Deals\Completed\2022 Completed\FI&C\Charming 3 集友[AT1]
44,POE,Supernova II ,长沙先导投资控股有限公司,长沙先导投资控股集团有限公司,"Changsha Pilot Investment Holdings Group Co., Ltd.",2022-10-17,2022-10-17,2022-10-25,2022-11-28,2025-10-17,Y,,Y,Y,中,,1,V:\Deals\Completed\2022 Completed\POE\Project Suprenova II_ 长沙先导
45,SOE,Gongfu I,杭州上城区国有资本运营集团有限公司,浙江鯤鵬(BVI)有限公司,Zhejiang Kunpeng (BVI) Company Limited,2022-10-26,2022-10-27,2022-11-01,2022-12-08,2025-10-27,Y,,Y,Y,中,,1,V:\Deals\Completed\2022 Completed\SOE\Gongfu I 上城国资
46,SOE,Blue IV,威海市文登区蓝海投资开发有限公司,鲁威国际有限公司,"Rowen International Co., Limited",2022-03-03,2022-10-31,2022-11-03,2022-12-12,2025-10-31,Y,,Y,Y,中,Y,1,V:\Deals\Completed\2022 Completed\SOE\Blue IV 威海文登
