Date,是否中国假期
12/31/2024,工作日
12/30/2024,工作日
12/29/2024,周末
12/28/2024,周末
12/27/2024,工作日
12/26/2024,工作日
12/25/2024,工作日
12/24/2024,工作日
12/23/2024,工作日
12/22/2024,周末
12/21/2024,周末
12/20/2024,工作日
12/19/2024,工作日
12/18/2024,工作日
12/17/2024,工作日
12/16/2024,工作日
12/15/2024,周末
12/14/2024,周末
12/13/2024,工作日
12/12/2024,工作日
12/11/2024,工作日
12/10/2024,工作日
12/9/2024,工作日
12/8/2024,周末
12/7/2024,周末
12/6/2024,工作日
12/5/2024,工作日
12/4/2024,工作日
12/3/2024,工作日
12/2/2024,工作日
12/1/2024,周末
11/30/2024,周末
11/29/2024,工作日
11/28/2024,工作日
11/27/2024,工作日
11/26/2024,工作日
11/25/2024,工作日
11/24/2024,周末
11/23/2024,周末
11/22/2024,工作日
11/21/2024,工作日
11/20/2024,工作日
11/19/2024,工作日
11/18/2024,工作日
11/17/2024,周末
11/16/2024,周末
11/15/2024,工作日
11/14/2024,工作日
11/13/2024,工作日
11/12/2024,工作日
11/11/2024,工作日
11/10/2024,周末
11/9/2024,周末
11/8/2024,工作日
11/7/2024,工作日
11/6/2024,工作日
11/5/2024,工作日
11/4/2024,工作日
11/3/2024,周末
11/2/2024,周末
11/1/2024,工作日
10/31/2024,工作日
10/30/2024,工作日
10/29/2024,工作日
10/28/2024,工作日
10/27/2024,周末
10/26/2024,周末
10/25/2024,工作日
10/24/2024,工作日
10/23/2024,工作日
10/22/2024,工作日
10/21/2024,工作日
10/20/2024,周末
10/19/2024,周末
10/18/2024,工作日
10/17/2024,工作日
10/16/2024,工作日
10/15/2024,工作日
10/14/2024,工作日
10/13/2024,周末
10/12/2024,补班
10/11/2024,工作日
10/10/2024,工作日
10/9/2024,工作日
10/8/2024,工作日
10/7/2024,假期
10/6/2024,假期
10/5/2024,假期
10/4/2024,假期
10/3/2024,假期
10/2/2024,假期
10/1/2024,假期
9/30/2024,工作日
9/29/2024,补班
9/28/2024,周末
9/27/2024,工作日
9/26/2024,工作日
9/25/2024,工作日
9/24/2024,工作日
9/23/2024,工作日
9/22/2024,周末
9/21/2024,周末
9/20/2024,工作日
9/19/2024,工作日
9/18/2024,工作日
9/17/2024,假期
9/16/2024,假期
9/15/2024,假期
9/14/2024,补班
9/13/2024,工作日
9/12/2024,工作日
9/11/2024,工作日
9/10/2024,工作日
9/9/2024,工作日
9/8/2024,周末
9/7/2024,周末
9/6/2024,工作日
9/5/2024,工作日
9/4/2024,工作日
9/3/2024,工作日
9/2/2024,工作日
9/1/2024,周末
8/31/2024,周末
8/30/2024,工作日
8/29/2024,工作日
8/28/2024,工作日
8/27/2024,工作日
8/26/2024,工作日
8/25/2024,周末
8/24/2024,周末
8/23/2024,工作日
8/22/2024,工作日
8/21/2024,工作日
8/20/2024,工作日
8/19/2024,工作日
8/18/2024,周末
8/17/2024,周末
8/16/2024,工作日
8/15/2024,工作日
8/14/2024,工作日
8/13/2024,工作日
8/12/2024,工作日
8/11/2024,周末
8/10/2024,周末
8/9/2024,工作日
8/8/2024,工作日
8/7/2024,工作日
8/6/2024,工作日
8/5/2024,工作日
8/4/2024,周末
8/3/2024,周末
8/2/2024,工作日
8/1/2024,工作日
7/31/2024,工作日
7/30/2024,工作日
7/29/2024,工作日
7/28/2024,周末
7/27/2024,周末
7/26/2024,工作日
7/25/2024,工作日
7/24/2024,工作日
7/23/2024,工作日
7/22/2024,工作日
7/21/2024,周末
7/20/2024,周末
7/19/2024,工作日
7/18/2024,工作日
7/17/2024,工作日
7/16/2024,工作日
7/15/2024,工作日
7/14/2024,周末
7/13/2024,周末
7/12/2024,工作日
7/11/2024,工作日
7/10/2024,工作日
7/9/2024,工作日
7/8/2024,工作日
7/7/2024,周末
7/6/2024,周末
7/5/2024,工作日
7/4/2024,工作日
7/3/2024,工作日
7/2/2024,工作日
7/1/2024,工作日
6/30/2024,周末
6/29/2024,周末
6/28/2024,工作日
6/27/2024,工作日
