信用主体,是否中资主体
路劲基建有限公司,非中资
仁恒置地集团有限公司,非中资
亚洲基础设施投资银行,非中资
国际复兴开发银行,非中资
香港按揭证券有限公司,非中资
香港铁路有限公司,非中资
中华人民共和国香港特别行政区政府,非中资
友邦保险控股有限公司,非中资
星展银行有限公司,非中资
凯基证券(香港)有限公司,非中资
新鸿基地产发展有限公司,非中资
香港上海汇丰银行有限公司,非中资
恒基兆业地产有限公司,非中资
恒隆地产有限公司,非中资
香格里拉(亚洲)有限公司,非中资
太古地产有限公司,非中资
香港置地控股有限公司,非中资
ESR GROUP LIMITED,非中资
希慎兴业有限公司,非中资
太古股份有限公司,非中资
康业金融科技集团有限公司,非中资
长江和记实业有限公司,非中资
嘉里物流联网有限公司,非中资
永利澳门有限公司,非中资
香港机场管理局,非中资
领展资产管理有限公司,非中资
九龙仓置业地产投资有限公司,非中资
香港中华煤气有限公司,非中资
国泰航空有限公司,非中资
富力地产(香港)有限公司,非中资
SANDS CHINA LTD.,非中资
新世界发展有限公司,非中资
招商局港口控股有限公司,非中资
渣打银行(香港)有限公司,非中资
港华智慧能源有限公司,非中资
新鸿基有限公司,非中资
AMTD GROUP COMPANY LIMITED,非中资
新濠国际发展有限公司,非中资
香港电讯信托与香港电讯有限公司,非中资
会德丰有限公司,非中资
创科实业有限公司,非中资
中国美东汽车控股有限公司,非中资
联洋智能控股有限公司,非中资
丽新发展有限公司,非中资
长江实业集团有限公司,非中资
和记港口信托,非中资
九龙仓集团有限公司,非中资
狮桥资本有限公司,非中资
PCGI HOLDINGS LIMITED,非中资
置地控股有限公司,非中资
长江基建集团有限公司,非中资
资本策略地产有限公司,非中资
中华电力有限公司,非中资
GLP PTE. LTD.,非中资
盈科大衍地产发展有限公司,非中资
利福国际集团有限公司,非中资
澳门博彩控股有限公司,非中资
乐明国际投资(香港)有限公司,非中资
怡和控股有限公司,非中资
MGM CHINA HOLDINGS LIMITED,非中资
香港俊发地产有限公司,非中资
隽洋有限公司,非中资
青山发电有限公司,非中资
利丰有限公司,非中资
新濠博亚娱乐有限公司,非中资
电讯盈科有限公司,非中资
汇丰控股有限公司,非中资
鼎睿再保险有限公司,非中资
第一太平有限公司,非中资
南丰国际控股有限公司,非中资
英皇国际集团有限公司,非中资
香港电灯有限公司,非中资
嘉民香港物流基金,非中资
金界控股有限公司,非中资
冠君产业信托,非中资
兆邦基地产控股有限公司,非中资
PINEBRIDGE INVESTMENTS,非中资
瑞安建业有限公司,非中资
太平洋航运集团有限公司,非中资
FWD GROUP LIMITED,非中资
普汇中金国际控股有限公司,非中资
新创建集团有限公司,非中资
理文造纸有限公司,非中资
IFC DEVELOPMENT LIMITED,非中资
嘉年华国际控股有限公司,非中资
德昌电机控股有限公司,非中资
中国地产集团有限公司,非中资
恒成国际发展有限公司,非中资
香港航空国际控股有限公司,非中资
天韵国际控股有限公司,非中资
FWD LIMITED,非中资
千百度国际控股有限公司,非中资
东建国际控股有限公司,非中资
中国环保科技控股有限公司,非中资
爪哇控股有限公司,非中资
香港宽频有限公司,非中资
稀镁科技集团控股有限公司,非中资
绿领控股集团有限公司,非中资
中国优通未来空间产业集团控股有限公司,非中资
世纪阳光集团控股有限公司,非中资
富豪酒店国际控股有限公司,非中资
香港快运航空有限公司,非中资
德祥地产集团有限公司,非中资
电视广播有限公司,非中资
CWT INTERNATIONAL LTD,非中资
美丽中国控股有限公司,非中资
莱蒙国际集团有限公司,非中资
新昌集团控股有限公司,非中资
港灯电力投资有限公司,非中资
中国金融投资管理有限公司,非中资
耐世特汽车系统集团有限公司,非中资
中国农产品交易有限公司,非中资
香港翔隆有限公司,非中资
津联集团有限公司,非中资
嘉华国际集团有限公司,非中资
太平洋恩利资源发展有限公司,非中资
丽新制衣国际有限公司,非中资
恒生银行有限公司,非中资
御泰中彩控股有限公司,非中资
ASMPT LIMITED,非中资
ASMPT Limited,非中资
