Find,EN,CN,CN_Short,Replace
ABC,ABCI,农银国际,农银国际,^ABC^
AGRICOLE,CACIB,东方汇理,东方汇理,^AGRICOLE^
AGRICULTURALBANK,ABC,农业银行,农银,^AGRICULTURALBANK^
AGRICULTURALBOC,ABC,农业银行,农银,^AGRICULTURALBOC^
AMTD,AMTD,尚乘,尚乘,^AMTD^
ANZ,ANZ,澳新银行,澳新,^ANZ^
BANKOFCHINA,BOC,中国银行,中银,^BANKOFCHINA^
BEA,BEA,东亚银行,东亚,^BEA^
BARCLAYS,Barcap,巴克莱,巴克莱,^BARCLAYS^
BBVA,BBVA,西班牙对外银行,西班牙对外银行,^BBVA^
BNP,BNP,法国巴黎银行,法巴,^BNP^
BOCHONGKONG,BOC(HK),中银香港,中银香港,^BOCHONGKONG^
BOCI,BOCI,中银国际,中银国际,^BOCI^
BOCOM,BOCOMI,交银国际,交银国际,^BOCOM^
BOFA,BofA,美银美林,美银,^BOFA^
BOSC,BOSCI,上银国际,上银国际,^BOSC^
BANKSINOPAC,Bank SinoPac,永丰银行,永丰,^BANKSINOPAC^
CAITONG,Caitong,财通证券,财通,^CAITONG^
CATHAYUNITED,Cathay United,国泰银行,国泰银行,^CATHAYUNITED^
CCBEUROPE,CCB Europe,建银欧洲,建银欧洲,^CCBEUROPE^
CCBA,CCB Asia,建银亚洲,建银亚洲,^CCBA^
CCBINTL,CCBI,建银国际,建银国际,^CCBINTL^
CEBINTL,CEBI,光银国际,光银国际,^CEBINTL^
CHINAEVERBRIGHTBK,CEB,光大银行,光银,^CHINAEVERBRIGHTBK^
CENTRALCHINA,Central China,中州国际,中州国际,^CENTRALCHINA^
CENTRALWEALTH,Central Wealth,中达证券,中达,^CENTRALWEALTH^
CHAOSHANG,ChaoShang,潮商证券,潮商,^CHAOSHANG^
CHINADEVELOPMENTBANK,CDB,国开行,国开行,^CHINADEVELOPMENTBANK^
CHINAGALAXY,Galaxy,银河证券,银河,^CHINAGALAXY^
