Date,R_BMK_SOFR
02/02/2024,0.0532
02/01/2024,0.0532
01/31/2024,0.0532
01/30/2024,0.0531
01/29/2024,0.0531
01/26/2024,0.0532
01/25/2024,0.0532
01/24/2024,0.0531
01/23/2024,0.0531
01/22/2024,0.0531
01/19/2024,0.0531
01/18/2024,0.0531
01/17/2024,0.0532
01/16/2024,0.0532
01/12/2024,0.0531
01/11/2024,0.0531
01/10/2024,0.0531
01/09/2024,0.0531
01/08/2024,0.0531
01/05/2024,0.0531
01/04/2024,0.0532
01/03/2024,0.0539
01/02/2024,0.054
12/29/2023,0.0538
12/28/2023,0.054
12/27/2023,0.0539
12/26/2023,0.0535
12/22/2023,0.0532
12/21/2023,0.0531
12/20/2023,0.0531
12/19/2023,0.0531
12/18/2023,0.0532
12/15/2023,0.0532
12/14/2023,0.0531
12/13/2023,0.0531
12/12/2023,0.0531
12/11/2023,0.0532
12/08/2023,0.0532
12/07/2023,0.0532
12/06/2023,0.0532
12/05/2023,0.0533
12/04/2023,0.0537
12/01/2023,0.0539
11/30/2023,0.0533
11/29/2023,0.0531
11/28/2023,0.0532
11/27/2023,0.0532
11/24/2023,0.0532
11/22/2023,0.0531
11/21/2023,0.0531
11/20/2023,0.0531
11/17/2023,0.0532
11/16/2023,0.0532
11/15/2023,0.0532
11/14/2023,0.0532
11/13/2023,0.0532
11/10/2023,0.0532
11/09/2023,0.0532
11/08/2023,0.0532
11/07/2023,0.0532
11/06/2023,0.0532
11/03/2023,0.0532
11/02/2023,0.0533
11/01/2023,0.0532
10/31/2023,0.0535
10/30/2023,0.0531
10/27/2023,0.0531
10/26/2023,0.0531
10/25/2023,0.053
10/24/2023,0.053
10/23/2023,0.053
10/20/2023,0.053
10/19/2023,0.053
10/18/2023,0.053
10/17/2023,0.0531
10/16/2023,0.0531
10/13/2023,0.0531
10/12/2023,0.0531
10/11/2023,0.0531
10/10/2023,0.0531
10/06/2023,0.0531
10/05/2023,0.0532
10/04/2023,0.0532
10/03/2023,0.0533
10/02/2023,0.0532
09/29/2023,0.0531
09/28/2023,0.0531
09/27/2023,0.0532
09/26/2023,0.0531
09/25/2023,0.0531
09/22/2023,0.053
09/21/2023,0.053
09/20/2023,0.053
09/19/2023,0.0531
09/18/2023,0.0531
09/15/2023,0.0531
09/14/2023,0.053
09/13/2023,0.053
09/12/2023,0.053
09/11/2023,0.053
09/08/2023,0.053
09/07/2023,0.0531
09/06/2023,0.053
09/05/2023,0.0531
09/01/2023,0.0531
08/31/2023,0.0531
08/30/2023,0.053
08/29/2023,0.053
08/28/2023,0.053
08/25/2023,0.053
08/24/2023,0.053
08/23/2023,0.053
08/22/2023,0.053
08/21/2023,0.053
08/18/2023,0.053
08/17/2023,0.053
08/16/2023,0.053
08/15/2023,0.053
08/14/2023,0.053
08/11/2023,0.053
08/10/2023,0.053
08/09/2023,0.053
08/08/2023,0.053
08/07/2023,0.053
08/04/2023,0.053
08/03/2023,0.053
08/02/2023,0.053
08/01/2023,0.0531
07/31/2023,0.0531
07/28/2023,0.053
07/27/2023,0.0531
07/26/2023,0.0506
07/25/2023,0.0506
07/24/2023,0.0505
07/21/2023,0.0505
07/20/2023,0.0506
07/19/2023,0.0505
07/18/2023,0.0506
07/17/2023,0.0506
07/14/2023,0.0505
07/13/2023,0.0506
07/12/2023,0.0505
07/11/2023,0.0506
07/10/2023,0.0506
07/07/2023,0.0506
07/06/2023,0.0506
07/05/2023,0.0506
07/03/2023,0.0506
06/30/2023,0.0509
06/29/2023,0.0506
06/28/2023,0.0506
06/27/2023,0.0505
06/26/2023,0.0505
06/23/2023,0.0505
06/22/2023,0.0505
06/21/2023,0.0505
06/20/2023,0.0505
06/16/2023,0.0505
06/15/2023,0.0506
06/14/2023,0.0505
06/13/2023,0.0505
06/12/2023,0.0505
06/09/2023,0.0505
06/08/2023,0.0505
06/07/2023,0.0505
06/06/2023,0.0505
06/05/2023,0.0506
06/02/2023,0.0507
06/01/2023,0.0508
05/31/2023,0.0508
05/30/2023,0.0506
05/26/2023,0.0506
05/25/2023,0.0506
05/24/2023,0.0505
05/23/2023,0.0505
05/22/2023,0.0505
05/19/2023,0.0505
05/18/2023,0.0505
05/17/2023,0.0505
05/16/2023,0.0505
05/15/2023,0.0506
05/12/2023,0.0505
05/11/2023,0.0505
05/10/2023,0.0506
05/09/2023,0.0506
05/08/2023,0.0506
05/05/2023,0.0506
05/04/2023,0.0506
05/03/2023,0.0481
05/02/2023,0.0481
05/01/2023,0.0481
04/28/2023,0.0481
04/27/2023,0.0481
04/26/2023,0.048
04/25/2023,0.048
04/24/2023,0.048
04/21/2023,0.048
04/20/2023,0.048
04/19/2023,0.048
04/18/2023,0.048
04/17/2023,0.048
04/14/2023,0.048
04/13/2023,0.048
04/12/2023,0.048
04/11/2023,0.048
04/10/2023,0.0481
04/06/2023,0.0481
04/05/2023,0.0481
04/04/2023,0.0483
04/03/2023,0.0484
03/31/2023,0.0487
03/30/2023,0.0482
03/29/2023,0.0483
03/28/2023,0.0484
03/27/2023,0.0481
03/24/2023,0.048
03/23/2023,0.048
03/22/2023,0.0455
03/21/2023,0.0455
03/20/2023,0.0455
03/17/2023,0.0455
03/16/2023,0.0457
03/15/2023,0.0458
03/14/2023,0.0455
03/13/2023,0.0455
03/10/2023,0.0455
03/09/2023,0.0455
03/08/2023,0.0455
03/07/2023,0.0455
03/06/2023,0.0455
03/03/2023,0.0455
03/02/2023,0.0455
03/01/2023,0.0455
02/28/2023,0.0455
02/27/2023,0.0455
02/24/2023,0.0455
02/23/2023,0.0455
02/22/2023,0.0455
02/21/2023,0.0455
02/17/2023,0.0455
02/16/2023,0.0455
02/15/2023,0.0455
02/14/2023,0.0455
02/13/2023,0.0455
02/10/2023,0.0455
02/09/2023,0.0455
02/08/2023,0.0455
02/07/2023,0.0455
02/06/2023,0.0455
02/03/2023,0.0455
02/02/2023,0.0456
02/01/2023,0.0431
01/31/2023,0.0431
01/30/2023,0.043
01/27/2023,0.043
01/26/2023,0.043
01/25/2023,0.0431
01/24/2023,0.043
01/23/2023,0.043
01/20/2023,0.043
01/19/2023,0.0431
01/18/2023,0.043
01/17/2023,0.0431
01/13/2023,0.043
01/12/2023,0.043
01/11/2023,0.043
01/10/2023,0.0431
01/09/2023,0.0431
01/06/2023,0.0431
01/05/2023,0.0431
01/04/2023,0.043
01/03/2023,0.0431
12/30/2022,0.043
12/29/2022,0.043
12/28/2022,0.043
12/27/2022,0.043
12/23/2022,0.043
12/22/2022,0.043
12/21/2022,0.043
12/20/2022,0.043
12/19/2022,0.043
12/16/2022,0.0432
12/15/2022,0.0432
12/14/2022,0.038
12/13/2022,0.038
12/12/2022,0.038
12/09/2022,0.038
12/08/2022,0.038
12/07/2022,0.038
12/06/2022,0.038
12/05/2022,0.0381
12/02/2022,0.0381
12/01/2022,0.0382
11/30/2022,0.0382
11/29/2022,0.0381
11/28/2022,0.038
11/25/2022,0.038
11/23/2022,0.0379
11/22/2022,0.038
11/21/2022,0.038
11/18/2022,0.038
11/17/2022,0.038
11/16/2022,0.0381
11/15/2022,0.038
11/14/2022,0.0379
11/10/2022,0.0378
11/09/2022,0.0378
11/08/2022,0.0378
11/07/2022,0.0378
11/04/2022,0.038
11/03/2022,0.038
11/02/2022,0.0305
11/01/2022,0.0305
10/31/2022,0.0305
10/28/2022,0.0305
10/27/2022,0.0304
10/26/2022,0.0303
10/25/2022,0.0302
10/24/2022,0.0301
10/21/2022,0.0302
10/20/2022,0.0303
10/19/2022,0.0304
10/18/2022,0.0304
10/17/2022,0.0305
10/14/2022,0.0304
10/13/2022,0.0304
10/12/2022,0.0304
10/11/2022,0.0305
10/07/2022,0.0305
10/06/2022,0.0305
10/05/2022,0.0304
10/04/2022,0.0304
10/03/2022,0.03
09/30/2022,0.0298
09/29/2022,0.0296
09/28/2022,0.0298
09/27/2022,0.0298
09/26/2022,0.0299
09/23/2022,0.0299
09/22/2022,0.0299
09/21/2022,0.0225
09/20/2022,0.0226
09/19/2022,0.0227
