KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
1123,"NANNING COMMUNICATIONS INVESTMENT GROUP CO., LTD.",南宁交投,南宁交通投资集团有限责任公司,20/5/2024,Existing
1122,CHINA INDUSTRIAL SECURITIES INTERNATIONAL FINANCIAL GROUP LIMITED,兴业证券,兴业证券股份有限公司,2/2/2024,Existing
1121,"HUATONG INTERNATIONAL INVESTMENT HOLDINGS CO., LIMITED",青岛华通,青岛华通国有资本投资运营集团有限公司,25/2/2024,Existing
1120,"JI’AN CHENGTOU HOLDING GROUP CO., LTD.",吉安城投,吉安城投控股集团有限公司,8/1/2027,Existing
1119,"UETD CONSTRUCTION & DEVELOPMENT STATE-OWNED CAPITAL INVESTMENT OPERATION (GROUP) CO., LTD.",乌经开建发,乌鲁木齐经济技术开发区建发国有资本投资运营(集团)有限公司,29/12/2026,Existing
1118,"CHENGDU YUNLAI INVESTMENT GROUP CO., LTD.",成都沄崃,成都市沄崃投资集团有限公司,14/12/2026,Existing
1117b,"GOLDEN DRAGON MOUNTAIN TRADING (BVI) CO., LIMITED",济南章丘,济南章丘控股集团有限公司,5/12/2026,Existing
1117a,"JINAN ZHANGQIU HOLDING GROUP CO., LTD.",济南章丘,济南章丘控股集团有限公司,14/12/2026,Existing
1116,"NANPING WUYI GROUP CO., LTD.",南平武夷,南平武夷集团有限公司,27/11/2026,Existing
1115,XI’AN KINGFAR INTERNATIONAL (SINGAPORE) PTE. LTD.,西安经发,西安经发控股(集团)有限责任公司,23/11/2026,Existing
1114,JINAN SHUNTONG INTERNATIONAL CO. LIMITED,济南轨交,济南轨道交通集团有限公司,13/11/2026,Existing
1113,"DUJIANGYAN URBAN AND RURAL CONSTRUCTION GROUP CO., LTD.",都江堰城投,都江堰市城乡建设集团有限公司,1/11/2026,Existing
1112,"JINAN HI-TECH INTERNATIONAL (CAYMAN) INVESTMENT DEVELOPMENT CO., LIMITED",济南高新控股,济南高新控股集团有限公司,13/10/2026,Existing
1111,"JINAN LIXIA HOLDING GROUP CO., LTD.",济南历下,济南历下控股集团有限公司,,Suspend
1110,"CHANGDE URBAN CONSTRUCTION AND INVESTMENT GROUP CO., LTD.",常德城投,常德市城市建设投资集团有限公司,26/9/2026,Existing
1109,SHANGRAO CITY CONSTRUCTION INVESTMENT DEVELOPMENT GROUP COMPANY LIMITED,上饶城投,上饶市城市建设投资开发集团有限公司,28/9/2026,Existing
1108,"JINSHINE INTERNATIONAL CO., LTD",徐州经开国资,徐州经济技术开发区国有资产经营有限责任公司,19/9/2026,Existing
1107,PINGLING GROUP OVERSEAS LIMITED,江苏平陵建投,江苏平陵建设投资集团有限公司,19/9/2026,Existing
1106,"ZIBO CAIJIN HOLDING GROUP CO., LTD.",淄博财金,淄博市财金控股集团有限公司,12/9/2026,Existing
1105,"HAINAN STATE FARMS INTERNATIONAL CAPITAL (HK) CO., LIMITED",海南农垦,海南省农垦投资控股集团有限公司,27/1/2024,Existing
1104,"FUJIAN ZHANGLONG GROUP CO., LTD.",福建漳龙,福建漳龙集团有限公司,11/1/2024,Existing
1103,"AGRICULTURAL BANK OF CHINA LIMITED, HONG KONG BRANCH",农业银行,中国农业银行股份有限公司,,Suspend
1102,HFI INTERNATIONAL (HK) LIMITED,杭州金投,杭州市金融投资集团有限公司,3/8/2026,Existing
1101,BANK OF CHINA (DUBAI) BRANCH,中国银行,中国银行股份有限公司,11/9/2026,Existing
1100,"URUMQI GAOXIN INVESTMENT AND DEVELOPMENT GROUP CO., LTD.",乌鲁木齐高新,乌鲁木齐高新投资发展集团有限公司,29/8/2026,Existing
1099,"HAIYAN COASTLINE CO., LIMITED",海盐国资,海盐县国有资产经营有限公司,28/8/2026,Existing
1098,ZHEJIANG BARON (BVI) COMPANY LIMITED,杭州上城城建综合,杭州上城区城市建设综合开发有限公司,21/8/2026,Existing
1097,YI BRIGHT INTERNATIONAL LIMITED ,临沂城投,临沂城市建设投资集团有限公司,8/8/2026,Existing
1096,"PANZHIHUA CITY CONSTRUCTION AND TRANSPORTATION (GROUP) CO., LTD.",攀枝花城建交通,攀枝花城建交通(集团)有限公司,8/8/2026,Existing
1095,"YIBIN GRACE GROUP CO., LTD.",宜宾丝丽雅,宜宾丝丽雅集团有限公司,2/8/2026,Existing
1094,PIONEER REWARD LIMITED,华泰证券,华泰证券股份有限公司,1/8/2026,Existing
1093,GANZHOU TOURISM INVESTMENT GROUP LTD.,赣州旅投,赣州旅游投资集团有限公司,19/7/2026,Existing
1092,"WUXI TAIHU NEW CITY ASSET MANAGEMENT CO., LTD.",无锡太湖新城,无锡市太湖新城资产经营管理有限公司,11/7/2026,Existing
1091,CICC HONG KONG FINANCE 2016 MTN LIMITED,中金公司,中国国际金融股份有限公司,,Suspend
1090,"CHONGQING CHIJIA TOURISM CULTURE CREATIVE DEVELOPMENT GROUP CO., LTD.",重庆赤甲旅发,重庆市赤甲旅游文化创意开发集团有限责任公司,27/6/2026,Existing
1089,LUSO INTERNATIONAL BANKING LIMITED,澳门国际银行,澳门国际银行股份有限公司,23/6/2026,Existing
1088,CMB INTERNATIONAL LEASING MANAGEMENT LIMITED,招银金租,招银金融租赁有限公司,19/6/2026,Existing
1087,CHOUZHOU INTERNATIONAL INVESTMENT LIMITED,义乌国资,义乌市国有资本运营有限公司,11/6/2026,Existing
1086,"TONGLU NEW CITY DEVELOPMENT INVESTMENT CO., LTD.",桐庐新城,桐庐新城发展投资有限公司,24/7/2023,Existing
1085e,CHINA CONSTRUCTION BANK (DIFC BRANCH),建设银行,中国建设银行股份有限公司,20/11/2026,Existing
1085d,"CHINA CONSTRUCTION BANK CORPORATION, LUXEMBOURG BRANCH",建设银行,中国建设银行股份有限公司,20/11/2026,Existing
1085c,CHINA CONSTRUCTION BANK CORPORATION HONG KONG BRANCH,建设银行,中国建设银行股份有限公司,20/11/2026,Existing
1085b,CHINA CONSTRUCTION BANK CORPORATION SYDNEY BRANCH,建设银行,中国建设银行股份有限公司,,Suspend
1085a,CHINA CONSTRUCTION BANK CORPORATION LONDON BRANCH,建设银行,中国建设银行股份有限公司,,Suspend
1084,HAITONG INTERNATIONAL FINANCE HOLDINGS LIMITED,海通证券,海通证券股份有限公司,10/5/2026,Existing
